发布时间,问题,回答
1292862004,中国有多少家 Apple Store 零售店？,目前有六家：北京两家，上海三家，香港一家。       <br><br>第一家是北京三里屯店，2008 年 7 月开业。      <br>第二家是上海浦东陆家嘴店，2010 年 7 月开业。      <br>第三和第四家同日开业，分别是北京西单大悦城店，和上海淮海中路香港广场店，2010 年 9 月开业。       <br> 第五家是上海南京东路店，2011 年 9 月 23 日开业。      <br>第六家是香港中环店，2011 年 9 月 24 日开业。       <br><br>据负责零售店业务的苹果高级副总裁朗·约翰森（Ron Johnson）在 2010 年 2 月 25 日的苹果公司年度股东大会上说，苹果将在接下来的两年内（也就是在 2012 年 2 月底之前）在大中华区开设 25 个门店。据分析，其中应该会包括北京上海之外的其他大陆城市，以及香港和台北。
1292865614,关于史蒂夫·乔布斯的最好的传记是哪几本？,"<b>《史蒂夫·乔布斯传》</b>，作者：沃尔特·艾萨克森    <br><i>Steve Jobs</i>, by Walter Isaacson    <br> 豆瓣链接: <a href=""https://link.zhihu.com/?target=http%3A//book.douban.com/subject/6798611/"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">book.douban.com/subject</span><span class=""invisible"">/6798611/</span><span class=""ellipsis""></span></a>    <br><b> </b><b> </b>  <br> 《重返小王国：乔布斯如何改变世界》，作者：迈克尔·莫瑞茨   <br><i>Return to the Little Kingdom</i>, by Michael Moritz   <br>豆瓣链接: <a href=""https://link.zhihu.com/?target=http%3A//book.douban.com/subject/5400552/"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">book.douban.com/subject</span><span class=""invisible"">/5400552/</span><span class=""ellipsis""></span></a>   <br><br><b>《史蒂夫·乔布斯复出记》</b>，作者：艾伦·多伊奇曼   <br><i>The Second Coming of Steve Jobs</i>, by Alan Deutschman   <br>豆瓣链接: <a href=""https://link.zhihu.com/?target=http%3A//book.douban.com/subject/1292273/"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">book.douban.com/subject</span><span class=""invisible"">/1292273/</span><span class=""ellipsis""></span></a>    <br><br><b>《完美之物》</b>，作者：史蒂文·列维   <br><i>The Perfect Thing</i>, by Steven Levy   <br>豆瓣链接: <a href=""https://link.zhihu.com/?target=http%3A//book.douban.com/subject/2269898/"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">book.douban.com/subject</span><span class=""invisible"">/2269898/</span><span class=""ellipsis""></span></a>   <br><br><b>《苹果往事》</b>，作者：安迪·赫茨菲尔德   <br><i>Revolution in the Valley</i>, by Andy Hertzfeld   <br>豆瓣链接: <a href=""https://link.zhihu.com/?target=http%3A//book.douban.com/subject/4214837/"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">book.douban.com/subject</span><span class=""invisible"">/4214837/</span><span class=""ellipsis""></span></a>   <br><br><b>《撬开苹果》</b>，作者：利安德·卡尼   <br><i>Inside Steve's Brain</i>, by Leander Kahney   <br>豆瓣链接: <a href=""https://link.zhihu.com/?target=http%3A//book.douban.com/subject/3309579/"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">book.douban.com/subject</span><span class=""invisible"">/3309579/</span><span class=""ellipsis""></span></a>   <br><br><i><b>Insanely Great</b></i>, by Steven Levy   <br>无中文版，豆瓣链接: <a href=""https://link.zhihu.com/?target=http%3A//book.douban.com/subject/1341633/"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">book.douban.com/subject</span><span class=""invisible"">/1341633/</span><span class=""ellipsis""></span></a>"
1292951425,如何读「repoussé」这个法文单词？,"国际音标：ʁe-pu-se' ，重音在最后一个音节上。发音示范: <a href=""https://link.zhihu.com/?target=http%3A//goo.gl/0TnRn"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">goo.gl/0TnRn</span><span class=""invisible""></span></a>    <br><br>汉语读音类似于：何-布-塞 (sei)。      <br><br>此系法语词——      <br><ul><li>法语 ""r"" 是浊小舌音，@梁海 说，在巴黎法语中是小舌颤音，发音类似汉语 ""h""，但伴有小舌震动。      <br></li><li>法语 ""re-"" 开头的词，一般是前缀，""e"" 弱读，听起来就像是没有发一样。</li><li>法语 ""p"" 是清不送气爆破音，发音类似汉语的 ""b""，而非英语的 ""p""。</li><li>法语 ""ou"" 发音类似于英语的 “oo""。</li><li>法语 ""ss"" 发音为 ""s""。</li><li>法语 ""é"" 是加了闭音符的 “e”，发音类似于英语的 ""eh""，类似于汉语中的 ""ei""。</li></ul>"
1293041363,iOS 系统上你最喜欢的音乐类软件是什么？为什么？,"【 8/29/2012 更新】<br><br>我不能说下面的是 iPhone 上最好的音乐应用，但至少是迄今为止我最喜欢的 iPhone 音乐应用。<br><ul><li><b>exfm</b>——ex.fm 要解决的问题就是，如果你觉得很久没有人给你推荐什么歌好听了，那么，ex.fm 就会让你知道——顿一下——什么样的节奏是最呀最摇摆。<br>【价格：免费。下载链接: <a href=""https://link.zhihu.com/?target=http%3A//itunes.apple.com/app/exfm/id440394777"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">itunes.apple.com/app/ex</span><span class=""invisible"">fm/id440394777</span><span class=""ellipsis""></span></a>】</li><li><b>Remote</b>——我每日必用软件，可以通过 iPhone 来遥控操作桌面 iTunes 几乎所有的播放功能，实时的分类浏览，封面展示，甚至还可以搜索，强大至极。<br>【价格：免费。下载链接: <a href=""https://link.zhihu.com/?target=http%3A//itunes.apple.com/app/remote/id284417350"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">itunes.apple.com/app/re</span><span class=""invisible"">mote/id284417350</span><span class=""ellipsis""></span></a>】</li></ul><ul><li><b>My Artists</b>——软件启动后，乍一看，还以为不过是 iPhone 自带的 iPod 应用中「按表演者浏览」的列表功能，但其实强大的地方是：1）点开一个表演者，会进入一个界面，呈现出这个表演者的简介，他/她在本机曲库中的专辑，以及系统推荐的该表演者的其他专辑；2）点开推荐的专辑，还可以试听其中的曲目；3）如果 iPod 应用正在播放一首歌，这个软件还可以显示正在播放的这个表演者的信息。对于音乐爱好者来说，非常非常好用。<br>【价格: 2.99美元。下载链接: <a href=""https://link.zhihu.com/?target=http%3A//itunes.apple.com/app/my-artists/id365565608"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">itunes.apple.com/app/my</span><span class=""invisible"">-artists/id365565608</span><span class=""ellipsis""></span></a>】</li></ul><ul><li><b>DJinn</b>——神奇的应用！神奇之一：这款应用根据你的风格需求，自动实时生成的音乐，目前提供 Aquatic、Aquazen、Rasta、Chill Out 和 Soft House 五种风格选择，你还可以把生成的曲子保存下来，便于以后播放，因为下次再选择，系统会生成新的音乐了。神奇之二：系统生成的音乐，无论音质还是好听程度，都相当高。没事的时候，放来做背景音乐，很赞！神奇之三：这个公司垮了，苹果也因此将这款应用下了架。抱歉我吊了大家的胃口……</li></ul><ul><li><b>Tango Remote</b>——苹果那款遥控器，是用 iOS 设备遥控桌面 iTunes 曲库播放，而这个应用，则是用 iOS 设备来遥控另一台 iOS 设备上的曲库播放操作。<br>【价格: 4.99 美元。下载链接: <a href=""https://link.zhihu.com/?target=http%3A//itunes.apple.com/app/tango-remote-control-music/id345279970"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">itunes.apple.com/app/ta</span><span class=""invisible"">ngo-remote-control-music/id345279970</span><span class=""ellipsis""></span></a>】</li></ul><ul><li><b>Soundtrcker Radio</b>——社会化的 Pandora。支持 iOS 4.2 的多任务后台播放。<br>【价格：免费。下载链接: <a href=""https://link.zhihu.com/?target=http%3A//itunes.apple.com/app/soundtrckr/id339473336"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">itunes.apple.com/app/so</span><span class=""invisible"">undtrckr/id339473336</span><span class=""ellipsis""></span></a>】</li></ul><ul><li><b>Buddha Machine</b>——中国 DJ 团队 FM3 出品的音乐应用，内置了 FM3 创作的「唱佛机」Loop。极简主义界面，只有一个「随机播放下一首」按钮。很酷，很有趣，很好听。支持 iOS 4.2 多任务后台播放。<br>【价格: 0.99 美元。下载链接: <a href=""https://link.zhihu.com/?target=http%3A//itunes.apple.com/app/buddha-machine/id294730223"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">itunes.apple.com/app/bu</span><span class=""invisible"">ddha-machine/id294730223</span><span class=""ellipsis""></span></a>】</li></ul><ul><li><b>TuneWiki</b>——从服务器实时获取 iPod 曲库正在播放的歌曲的歌词。经典。<br>【价格：免费。已下架。】</li></ul><ul><li><b>Lyric Legend</b>——TuneWiki 团队出品，歌词游戏，玩法类似于 Tap Tap Revenge，只是玩家要摁的不是鼓点，而是歌词节奏。<br>【价格：免费。下载链接: <a href=""https://link.zhihu.com/?target=http%3A//itunes.apple.com/app/lyric-legend/id381473803"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">itunes.apple.com/app/ly</span><span class=""invisible"">ric-legend/id381473803</span><span class=""ellipsis""></span></a>】</li></ul><ul><li><b>豆瓣电台</b>——中国的 Pandora。<br>【价格：免费。下载链接: <a href=""https://link.zhihu.com/?target=http%3A//itunes.apple.com/app/douban-fm/id353732572"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">itunes.apple.com/app/do</span><span class=""invisible"">uban-fm/id353732572</span><span class=""ellipsis""></span></a>】</li></ul><ul><li><b>SoundHound</b>——著名的音乐识别应用。也许是先入为主的缘故吧，反正我就是觉得它比 Shazam 好。<br>【价格：免费。下载链接: <a href=""https://link.zhihu.com/?target=http%3A//itunes.apple.com/app/soundhound/id355554941"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">itunes.apple.com/app/so</span><span class=""invisible"">undhound/id355554941</span><span class=""ellipsis""></span></a>】</li></ul>"
1293041617,关于摇滚乐最好的纪录片或电影是什么？, 补充一个关于摇滚的——<br><ul><li>《海盗电台》（<i>The Boat That Rocks</i>）</li></ul><br>关于 Hip Hop 的——<br><ul><li>《川流熙攘》（<i>Hustle &amp; Flow</i>）</li><li>《8英里》（<i>8 Miles</i>）</li></ul>
1293042949,哪些歌曲曾经让你感动过并因此流泪？为什么？,"<ul><li><i><b>下一站天国</b></i>，黄耀明，专辑《光天化日》。唱给离开的人，但我听的时候，却想起了离世的人。每句歌词都给在世者带来痛苦和力量。<br>在线听: <a href=""https://link.zhihu.com/?target=http%3A//www.xiami.com/song/399017"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">xiami.com/song/399017</span><span class=""invisible""></span></a></li></ul><ul><li><i><b>Thank You</b></i>, Robert Plant &amp; Jimmy Page，专辑《No Quarter》。这是现场版，Led Zeppelin 年迈聚首，遍插茱萸少一人，「If the sun refused to shine, I'll be loving you」这句唱得尤显悲怆。 <br>在线听: <a href=""https://link.zhihu.com/?target=http%3A//www.xiami.com/song/1803936"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">xiami.com/song/1803936</span><span class=""invisible""></span></a></li></ul><ul><li><i><b>Epitaph</b></i>, King Crimson, 专辑《In the Court of Crimson King》。【感谢 Lawrence Li 同学提醒！】<br>在线听：<a href=""https://link.zhihu.com/?target=http%3A//www.xiami.com/song/1769149932"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">xiami.com/song/17691499</span><span class=""invisible"">32</span><span class=""ellipsis""></span></a></li></ul>"
1293043360,App Store 上收入过 100 万美元的游戏开发者有哪些？, 上海的 Trinity，代表作为「游戏盒子」，下载超过 200 万份。<br><br>芬兰的 Rovio，代表作为「愤怒的小鸟」，iOS平台下载超过 1200 万份。 
1293097465,2010 年的游戏大作有哪些？, iOS 平台：《愤怒的小鸟》 
1293116269,如何让心智变强大？,<ul><li>降低对物质和金钱的需求和依赖</li><li>无论如何，保持正直</li><li>爱别人要随便，恨别人要慎重</li><li>记住好的事情，忘记不好的事情</li><li>以物喜，不以己悲</li><li>多阅读</li><li>多交人格正直、聪明智慧的朋友</li><li>随时敢下判断，但同时又随时准备修改自己先前的观点</li></ul>
1293117839,如果我想分享知识，可以自问自答吗？, 可以，并且这样做应该是得到鼓励的。<br><br>但同时，要想到这是一个社会化问答系统，每一个问题和回答的价值，在于有价值的参与。因此，你提给自己的问题，最好也能是开放性的，可以邀请朋友、或者你希望的人来回答的。 
