发布时间,问题,回答
1292787760,如何正确使用知乎？," 欢迎你来到知乎  :）  知乎是一个真实的网络问答社区，在这里你可以<br><br><b>关注</b><b>你感兴趣的</b>话题和问题<br><ul><li>在知乎的搜索框中输入你感兴趣的关键词，例如「iPhone」或「创业」，你会发现一些有趣的话题。每个话题都包含一些问题，其中有些已经有人回答了，你可以阅读它们，给你喜欢的答案投票。你还可以单独关注某一个问题，持续追踪这个问题的最新答案。<br></li></ul><br><b>关注你感兴趣的人</b><br><ul><li>除了话题，知乎上有很多不错的人，或者你的朋友，你可以关注他们，这样他们的提问和回答你都能看得见。在顶部的搜索框中搜索一下？</li></ul><br><b>回答你知道的问题</b><br><ul><li>任何情况下，如果你知道问题的答案，或者对问题有自己的见解，你都可以发表自己的回答。<br></li></ul><br><b>提出你的问题<br></b><ul><li>当然了，如果你也有问题希望有人来帮你解答，知乎可能是最适合你提问的地方。提问后，别忘了给你的问题添上几个相关的话题，这样关注这些话题的人就能看见你的提问了，他们之中可能就有能帮你解答的人。</li></ul><br><b>帮助编辑和改进</b><br><ul><li>知乎有些地方很像维基百科（Wikipedia），是社区成员可以共同编辑的。比如：问题、话题、问题的补充说明、话题描述等等，每个社区成员都可以将它们修改的更准确、合适，为社区做贡献。<br><br>我们希望社区成员的共同协作可以让知乎的每一个问题和答案变得更有价值，就像一条流动的河流，知识在这里可以随时间不断更新，得到持续优化和改进。</li></ul><br>最后特别想说一点的是，友好。<br><br>知乎是一个实名的社会化产品，你的言论和操作可能会影响到其他人。所以，我们希望社区成员之间保持礼貌和友好。不要因为个人的喜恶而去攻击或蔑视他人和他人的内容， 尊重那些和你不同的观点、结论或信仰。试着去倾听和理解你或许不同意的内容。避免玷污、攻击和无礼的语言。鼓励这个网站上的其他人也同样友好、礼貌。<br><br>关于知乎的功能如有不清楚的地方，可以查看：知乎指南的全部问题有哪些？  <a href=""http://www.zhihu.com/question/19581624"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1958</span><span class=""invisible"">1624</span><span class=""ellipsis""></span></a><br><br>希望你能在知乎感受到乐趣，欢迎你！ "
1292788964,公司或组织可以注册知乎吗？, 目前知乎的所有用户都必须是个人，公司、团体或组织等不能注册知乎。此外，用户不允许使用产品或品牌名称作为用户名。<br><br>如果你想在知乎代表你的公司或团队，我们建议你使用真实的姓名，然后你可以在自己的「个人介绍」中写上你所在的公司或职位等信息。 
1292789123,为什么知乎中的提问可以被公共编辑？,"<b>1.  问题可能还存在改进的空间</b><br><br>知乎有许多地方像维基百科（Wikipedia），是社区成员可以共同编辑。这样每个用户都可以为他关心的问题做出贡献，比如，把问题修改的更准确，给问题添加合适的话题，编写答案总结，等等。我们希望社区成员的共同协作可以让每一个问题和答案变得更有价值，就像一条流动的河流，知识在这里可以随时间不断更新，得到持续优化和改进。<br><br><b>2.  减少重复的问题出现</b><br><br>在知乎上，你不用特别在意某个问题是谁提出的，它们就像维基百科上的词条一样。如果你在知乎提了一个问题，其实也是在帮助很多有同样疑问的人道出了这个问题。这样可以避免社区里出现许多重复的问题，提高社区的质量。<br><br><b>3.  修改问题时候应该慎重</b><br><br>虽然知乎允许你修改他人提出的问题，但当你在修改他人提出的问题时，仍然应该慎重。有些问题有明显的错误或不妥，你可以大胆地改进它们；但有些问题细微的文字修改就会带来问题本身的差别，这时候更应该慎重。无论何时，只在你相信的自己修改能够帮助改进这个问题时才进行修改。<br><br><b>请不要恶意修改知乎上的问题，如果出现恶意破坏行为，知乎的系统会记录操作者的身份，我们会酌情予以警告或停止帐号等处理。知乎是一个实名社区，你在知乎的行为是你真实信誉的一部分。</b><br><br><b>4.  最后，你还可以查看问题：</b><br><b><br></b><b>为什么知乎鼓励让问题减少个人特色？</b><br>请见：<a href=""http://www.zhihu.com/question/19552850"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">2850</span><span class=""ellipsis""></span></a> "
1292789386,知乎的格式标准有哪些？," 知乎社区的格式标准的基本原则是：1）让人迅速理解；2）准确和规范。<br><br>举几个例子：<br><br><b>问题</b><br><ul><li>问题的结尾别忘了使用问号“?”，但一个就足够了，更多的问号会让人不舒服，所以应避免 “ ？？？”或类似的用法。<br></li><li>不要让问题的句子太长，保持简单易懂。如果你的问题有很多的附加条件或补充信息，可以将它们放在「补充说明」中。<br></li><li>需特别强调的词句，或从别处引用的词句，可使用双引号“ ” 或繁体中文引号「」。</li></ul><b>答案</b><br><ul><li>每段话结束后可空出一行，不要空出许多行浪费页面空间。<br></li><li>如果答案内容很多，其中有一句或几句是总结的，可使用粗体字将其突出。<br></li><li>如果答案内容很多，请使用下划线、加粗、编号和项目符号等格式来组织你的答案，让答案清晰易读。<br></li><li>如果答案是一个列表，使用数字编号或项目符号使之清晰明了。</li></ul><b>话题</b><br><ul><li>话题中尽量不使用标点符号和空格，但括号（）和英文姓名中间的分隔符“·”除外。</li></ul><b>通用</b><br><ul><li>书籍、电影和音乐专辑等出版物名称请用书名号《》。</li><li>不要连续重复多个问号（？？）、感叹号（！！）或混用（？！）</li><li>不要把多个句号（ 。。。）当作省略号（……）使用。<br></li><li>全角字符（例如，汉字）和半角字符（例如，英文字母、数字）之间留一个半角空格，会让读者在视觉上更舒服，例如「2010 年 Twitter 采用了新的介面」比「2010年Twitter采用了新的介面」更好。</li></ul><b>注脚</b><br><ul><li>建议使用 [1]（中括号，中间加数字）的办法，这篇文章中的用法是一个很好的例子：<a href=""https://link.zhihu.com/?target=http%3A//apple4.us/2010/09/the-top-idea-in-your-mind.html"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">apple4.us/2010/09/the-t</span><span class=""invisible"">op-idea-in-your-mind.html</span><span class=""ellipsis""></span></a></li></ul>"
1292794215,乔布斯的经典语录和名言有哪些？,"<ul><li>Stay Hungry, Stay Foolish.  求知若饥，虛心若愚</li></ul>2005 年斯坦福演讲，原话出自一本叫做《Whole Earth Catalog》的杂志。详见：<a href=""https://link.zhihu.com/?target=http%3A//bit.ly/fyDqep"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">bit.ly/fyDqep</span><span class=""invisible""></span></a>   <br><ul><li>如果能当海盗，为什么还要去当海军？</li></ul><ul><li>好的艺术家复制，伟大的艺术家盗窃</li></ul><b>关于个人</b>  <br><ul><li>23 岁时，我有 100万 美元，24 岁时，我有 1000 万，25 岁时，我有超过 1 亿美元资产。但这对我并不重要，我不是为钱做这些事情的。</li></ul><ul><li>只有爱你所做的，你才能成就伟大的事情。如果你没找到自己所爱的，继续找，别停下来。就像所有与你内心有关的事情，当你找到时你会知道的。</li></ul><ul><li>我们并不是在享用自己种植的粮食，我们穿着别人做好的衣服。我们讲着别人发明的预言，我们使着别人创造的数学。我想说的是，我们一直在享用。因此，创造一点什么去回馈全人类的经验和知识，是非常带劲的一种感觉。</li></ul><ul><li>我是我所认识的唯一一个在一年之内丧失 2.5 亿美元的人，这极大塑造了我的性格。</li></ul><ul><li>成为墓地里最有钱的人对我没什么吸引力。夜半上床时，对自己说：你做了些了不起的事情。这对我很重要。</li></ul><ul><li>佛教有一句话，叫做初学者的心态，拥有初学者的心态是件了不起的事情 。</li></ul><br><b>关于产品和创新</b>  <br><br><ul><li>“电脑就像人类思维的自行车”  <a href=""https://link.zhihu.com/?target=http%3A//apple4.us/2009/08/revolution-013.html"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">apple4.us/2009/08/revol</span><span class=""invisible"">ution-013.html</span><span class=""ellipsis""></span></a></li></ul><ul><li>设计不只关于产品的外观和感觉，设计决定产品如何运作。</li></ul><ul><li>只有对一千件事情说“不”，才能确保我们不会误入歧途或浪费过多尝试。</li></ul><ul><li>你要成为一个质量标杆。很多人并不知道如何适应那种追求卓越的环境。</li></ul><ul><li>创新与有多少研发资金无关。当苹果推出 Mac 的时候，IBM 投入的研发费用比苹果至少多 100 倍。所以钱不是主要原因。关键在于你有怎样的团队，你怎么领导，你怎么达到目标。   <br></li></ul><ul><li>微软的唯一问题是他们没有品味。他们就是没品位。我不是狭义的批评，我是广义的说，他们不去思考原创的创意，他们也没把什么文化带入他们的产品。</li></ul>"
1292795670,拉里·佩奇和谢尔盖·布林在 Google 早期做出的最重要的决定有哪些？,"<b>Brandon Smietana) 在 Quora 上回答了这个问题（<a href=""https://link.zhihu.com/?target=http%3A//b.qr.ae/i2yexN"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">b.qr.ae/i2yexN</span><span class=""invisible""></span></a>），写的非常好，翻译过来</b>：<br><br>拉里·佩奇（Larry Page）的兄弟卡尔·佩奇（Carl Page）有过与风险投资打交道的经历，曾经将 eGroups 以 4.32 亿美元的价格卖给了雅虎。因为有卡尔·佩奇与风险投资的经历在先，佩奇和布林非常不愿意将公司的控制权出让给投资者。<br><br>卡尔·佩奇的经验让佩奇和布林延迟了风险投资的融资时间，直到他们快赚钱的时候，这让他们获得了更高的估值，并减少了对公司的控制权的损失。从历史标准来看，Google 的 VC 轮融资的估值非常的高，这显示了当时他们在谈判中的有利地位。他们让两家杰出的风险投资公司相互竞争，以最小化公司控制权的损失，最大化公司估值，并且加倍了公司能够获取的社交联系。佩奇和布林发行给自己的是特别 B 级股，每股拥有 10 个投票权，相对于 A 级股或普通照股每股只有一个投票权。这有效排除了投资者通过股东投票控制公司的可能，因为每个创始人掌握的投票权都比流通的 A 级股和普通股拥有的投票权还多。佩奇和布林非常小心地选择董事会成员，非常在意对于董事会的控制。<br><br>佩奇和布林做的一个让步是，同意从外部引入 CEO 。尽管他们延迟这个决定好几年，并且抵制所有潜在的 CEO 人选，他们和这些潜在人选见面仅仅是为了安抚 VC 投资者。在 VC 的压力下，佩奇和布林考察了大量候选人，最后选择埃里克·施密特（Eric Schmidt）担任 Google 的 CEO 。佩奇和布林在 CEO 人选上花费异乎寻常多的时间，并且一再延迟 CEO 人选直到找到合适的并且不给公司文化带来不利影响的人。埃里克·施密特（Eric Schmidt）在升阳（Sun）的经历使他非常适合 Google 的文化。<br><br>维持对于公司的控制被证明是 Google 成功的关键。早期公司的很多收入来自于企业搜索， 投资者和埃里克·施密特都曾施压给公司，要求放弃面向消费者的搜索市场，专注于企业市场。但佩奇和布林并没有采纳这个建议，因为他们预料到在线广告市场的增长。当他们做出这个决定的时候，《纽约时报》引用专家的话称“没有人能靠在线广告每年赚 2.5 亿美元。” 据说佩奇和布林抵制了来自投资者的要求复制雅虎模式的压力，通过多样化将 Google 变成一个互联网的入口，并决定专注于核心搜索业务和广告市场。<br><br>Google 的另一个关键决定是保持他们的财务绝对保密。佩奇和布林还从  Internet Explorer 和 Netscape 的浏览器战争中学到，保持对微软进入搜索领域、征服他们的健康担忧。因此他们决定将财务信息完全保密，不做市场营销，不做产品推广，从根本上隐藏起他们已经在赚钱了这一事实。由于担心搜索带来的利润被泄露出去，激起微软的竞争欲，Google 内部的员工也无法知晓搜索的真实利润。<br><br>在 Google 历史上另一个关键决定是，通过融资来的钱收购和建设了一个广告网络，实现了最早期的盈利，然后进行了 IPO 。如果 Google 选择了被收购而不是实现盈利然后进行 IPO ，Google 不会有今天的成功。这可能暗示 Google 很早就被逼决定进行 IPO ，因为他们找不到有公司有兴趣购买他们。<br><br>学到的课程如下：<br><br><ul><li>选择一个会爆炸发展的市场：移动终端、云计算（或者还有其他什么值得加入到这个列表的市场？）</li><li>Google 不是第一个搜索引擎， YouTube 不是第一个视频分享网站，Facebook 也不是第一个社交网站。每个人都认为搜索市场已经很“成熟”，新进入者很难和雅虎、远景（Altavista）竞争。但 Google 进来了，然后将他们彻底打翻。寻找竞争优势和杠杆技术。</li></ul><ul><li>维持对公司的控制。如果你不能抗拒你投资者的压力而去做错误的事情，你的公司将会失败。如果 Google 最初放弃了消费搜索市场而专注于企业搜索，今天会是怎样呢？如果 Google 选择了拷贝雅虎而不是成为互联网入口，今天又会是怎样呢？</li><li>公司早期的收入和利润对于给你在和投资者的谈判中获得有利地位机器重要。根据 SEC  的 S-1 报表材料了，Google 在公司成立的第三年就已开始盈利。<br></li><li>花尽可能长的时间寻找完美的 CEO。当你还是一家创业公司，每年只有 5 百万收入美元的时候，你能找到的 CEO 可能不如你晚些找到的好。别屈从于压力而选择并不是非常适合你公司的 CEO 。在投资面前的高姿态意味着你更有可能找到高水平的天才。</li><li>公司的文化对于吸引天才人物最为重要。Gmail 的发明者保罗·布克海特（Paul Buchheit）离开英特尔加入 Google 的时候，工资实际上反而是降低的。当时在 Google 工作的每个人都“知道” Google 将会被雅虎和 远景（Altavista）碾碎。但保罗·布克海特从英特尔辞职，拿更少的工资到 Google 工作，他觉得是注定的。因为“在 Google 工作比在英特尔更有趣”。在吸引明星员工方面，文化的作用比报酬更加重要。你应该利用这一点。<br></li></ul>"
1292797568,马克·扎克伯格在 Facebook 早期做出的最重要的决定有哪些？," 以下是 Brandon Smietana 在 Quora 上的回答（<a href=""https://link.zhihu.com/?target=http%3A//b.qr.ae/bqJJAJ"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">b.qr.ae/bqJJAJ</span><span class=""invisible""></span></a>），翻译过来：<br><br><ul><li>他很走运<br></li><li>搬到了硅谷</li><li>遇到了肖恩·帕克（Sean Parker）<br></li><li>决定做这个产品<br></li><li>赶上了 Web 2.0 热潮，并依靠他的关系获得了忠告和人才<br></li><li>选择了保持对公司的控制</li></ul><br>我想说的是扎克伯格并非那么天才。他曾经想去做一些很愚蠢的决定，不过他周围有一些很有经验的人，让他避免了做出错误决定。<br><br>比如，扎克伯格曾经想回去哈佛完成大学学业，而不是全职在 Facebook 工作（肖恩·帕克劝说他不要回去）。扎克伯格几乎将董事会的控制权完全交给了投资者（恩·帕克让他不要那样做。恩·帕克之前三次创办公司最后都被董事会踢出来了，所以他学到这堂课的代价不菲。）<br><br>扎克伯格的成功和他身边的人有脱不开的关系，因为他们影响了马克许多很多很重要的决定。<br><br>有一个关键的决定，我认为极其重要并且应该归功于扎克伯格一个人的是，他当年决定不以 10 亿美元的价格把 Facebook 卖给雅虎。这个决定让 Facebook 能够走到今天。<br><br>Facebook 决定从一个校园一个校园的扩张战略，天才地利用了外部的自然网络。这看上去是来自马克身边的少数非常聪明的人的决定，比如肖恩·帕克、彼得·泰尔(Peter Thiel) 和马克·安德里森(Marc Anderson)。很多 Facebook 的核心战略（社会化图形）杠杆利用了外部的自然社交网络（经典的夏皮罗和瓦里安，注：两位经济学教授合著了《信息规则：网络经济的策略指导》一书成为信息社交化方面的基础研究），我不清楚扎克伯格是否会了解这些，如果他的身边没有那一群有趣的智囊团的话。<br><br>我觉得很难用「伟大的先知人物」的理论来解释 Facebook 的成功，也就是一个临界人物在一个临界的成功中发挥作用的公司，像乔布斯那种。 "
1292797954,亚马逊是如何进入云计算业务的？," 亚马逊 CTO 韦纳尔·维格斯（Werner Vogels）在 Quora （<a href=""https://link.zhihu.com/?target=http%3A//b.qr.ae/fGbmvn"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">b.qr.ae/fGbmvn</span><span class=""invisible""></span></a>）上的回答，译过来：<br><br>基于亚马逊电子商务平台数十年的基础设施优化和改进，亚马逊创造了一套独有的软件和服务基础。这些专有软件和操作流程拥有非常庞大的规模，驱动着亚马逊网站优异的性能、稳定性、运作质量和安全。同时，亚马逊开始意识到允许其他程序访问亚马逊目录（Amazon Catalog）和其他电子商务服务是一个意料之外的巨大创新，形成了一个巨大的开发者生态。然后，这个思考逐渐发展成为，亚马逊如何将自己在可伸缩的系统软件方面的专有技术作为一个原始的基础模块通过一个服务界面提供给开发者，这可能会触发一场为全球的创新，因为开发者不再需要去考虑购买、搭建和维护基础设施这些麻烦的事。<br><br>根据我们的经验，我们知道基础设施可能会占据很多开发者最高达 70% 的资金和智力成本。我们最初的考虑是将这一成本降低至 30% 或更低（我们现在知道，这一成本可以降到更低）。2006 年春天 AWS（ Amazon Web Services ） 提供第一个云存储服务 (Amazon S3)，同年秋天提供了云计算服务（Amazon EC2），其他的都是公开的历史了。<br><br>过剩产能只是一个传说。从来与销售过剩产能无关，事实上在 AWS 上线两个月之后，我们就用完了  <a href=""https://link.zhihu.com/?target=http%3A//Amazon.com"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">Amazon.com</span><span class=""invisible""></span></a> 的剩余产能。 Amazon Web Services 是一个深思熟虑的商业战略，亚马逊内部甚至期待它能够成长的跟  <a href=""https://link.zhihu.com/?target=http%3A//Amazon.com"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">Amazon.com</span><span class=""invisible""></span></a> 零售业务一样强大。 "
1292798430,拉里·佩奇和谢尔盖·布林如何做到在 Google 经历多轮投资之后仍然保持大于 50% 控制权？," Google 在 1999 年以 7500 万美元的投资前估值（pre-money valuation）进行了 A 轮融资 2500 万美元（投资后合计 1 亿美元），这意味着他们的投资者红杉资本(Sequoia)和 KPCB  共同拥有 Google 公司 25% 的股权。<br><br>到公司进行 IPO 的时候，根据提交的 S1 表，拉里和谢尔盖分别持有大约 15.6% 的公司股份。<br><br>但他们创建了一种双级股票结构，让拉里、谢尔盖和埃里克·施密特的股票拥有比其他股东更多的投票权，并因此维持了对公司的主要控制。<br><br>在两种情况下，他们都能够通过杠杆作用实现这点。当时 Google 是一家非常有前途的公司，因此投资者很乐意为他们投资，但要在「更少的股份」和「更少的控制权」 之间选择。投资者当然选择了要更多的股份，更少的控制。<br><br>Gmail 的发明者保罗·布克海特(Paul Buchheit) <a href=""https://link.zhihu.com/?target=http%3A//paulbuchheit.blogspot.com"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">paulbuchheit.blogspot.com</span><span class=""invisible""></span></a> 和马克·安德里森(Marc Andreessen) <a href=""https://link.zhihu.com/?target=http%3A//pmarca-archive.posterous"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">pmarca-archive.posterous</span><span class=""invisible""></span></a> 分别写过一些相关信息。 "
1292798739,哪些迹象表明你的公司已经不再是创业公司了？,<ul><li>办公室周末是空的<br></li><li>在办公室睡觉被看作是”不正常”的行为<br></li><li>你已经在做“预算”了</li><li>你招聘了一个人，他/她的全职工作是人力资源</li><li>新来的一个同事又招聘来了一个新人，并且和他谈及福利等事情</li><li>员工度假去了</li><li>你有了旅行和娱乐报销表</li><li>客户或投资人来拜访的时候，不再需要“紧急动员”来把办公室弄干净、漂亮</li><li>你开始进行一场会议，议题是为另一次内部会议做“准备”或“协调”工作</li><li>新员工进入之后的“方向待定”，而不是直接工作</li><li>工作申请时，有人问你关于“培训”、“提升”和“职业发展”的机会</li><li>每次睡觉至少要睡 6 个小时以上</li><li>公司的线下会议在酒店会议室进行</li><li>……</li></ul>
