发布时间,问题,回答
1292787570,Google 已经关闭或停止维护的产品有哪些？,"<b>Google 桌面搜索 Mac 版<br></b><br>第一版于 2007 年 4 月发布，最新版本为 1.6，目前尚未推出支持 Snow Leopard 的版本。<br><br><b>Google 桌面搜索 Linux 版<br></b><br>第一版发布 2007 年 6 月，2008 年 4 月停止更新，最后版本为 1.2。<br><br><b>Google Gears <br></b><br>2007 年 5 月发布，2010 年 2 月宣布停止更新。<br><br><b>Google Audio Ads<br></b><br>这个产品是 Google 在传统广播广告上的一次尝试，2007 年 5 月做为 AdWords 的一项功能上线，但很快就停止了。<br><br><b>Google Click-to-Call<br></b><br>Google 曾经向广告商提供在搜索结果上的点击呼叫服务──用户留下自己的电话号码， 然后由 Google 来接通用户和广告商的通话。这项业务于 2007 年停止更新。<br><br><b>Knol（<a href=""https://link.zhihu.com/?target=http%3A//knol.google.com"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">knol.google.com</span><span class=""invisible""></span></a>）<br></b><br>Google 提供的一款百科产品，在功能上类似于 Wikipedia。于 2007 年 11 月宣布，2008 年 7 月 beta 上线，此后一直在 beta 版停滞不前。<br><br><b>Google Notebook<br></b><br>Google Notebook 可以快速地对网页内容进行摘录和储存，制作成笔记，分享给其他用户。Google Notebook 于 2006 年 5 月上线，2009 年宣布停止开发。<br><br><b>Google sidewiki<br></b><br>Google 浏览器工具条的一项功能，让用户可以对浏览的网页进行评论。感觉是 Google 的边缘产品，我觉得这个服务已经停止了。<br><br><b>Google Wave<br></b><br>2010 年 5 月发布的一款多个通信和协作工具，Wave 拥有强大的实时协作平台，可以自动翻译几十种语言。2010 年 8 月，Google 宣布停止对 Google Wave 的开发。<br><br><b>Google Page Creator<br></b><br>2006 年由 Google 实验室发的一款在线网页编辑工具，在 2009 年这款产品已经全面转移到 Google Sites。<br><br><b>Google Base<br></b><br>Google Base 允许网站主向 Google 提交结构化的信息，例如机票、股票和商品价格等，Base 曾做为 Google 爬虫的一种补充存在。2009 年 10 月，Google 中止了这一产品。<br><br><b>GOOG-411<br></b><br>Google 2007 年发布的语音搜索服务，已经宣布在 2010 年 11 月关闭。<br><br><b>Google Answers<br></b><br>Google 2002 年 4 月开展的一款问答平台产品，提问者需要为回答者付费。该服务于 2006 年 12 月停止。<br><br><b> Google Lively<br></b><br>Google 在 2008 年 6 月发布的一款 3D 虚拟世界游戏。用户可以通过在线虚拟卡通形象和好友进行互动，感觉上类似于《第二人生》。2008 年 12 月，Google 关闭了该服务。<br><br><b>Google Web Accelerator<br></b><br>Google 提供的一款自动加快网页加载速度的软件。2005 年 5 月发布，2008 年停止下载。 "
1292827095,macOS  系统自带的截图快捷键有哪些？, 有，我经常使用。<br><br><ul><li>截全屏的快捷键：Shift + Cmmand + 3<br></li><li>截取选择区域的快捷键：Shift + Cmmand + 4<br></li></ul><br>操作完成后，图片会默认以 PNG 格式保存在桌面上。 
1292836006,如何让创业团队获得破釜沉舟的气势？, 换位思考。如果我是员工，那我想知道我为什么要破釜沉舟，公司到底出了什么问题，以及将会有什么对策。<br><br>所以，我的建议是：<br><br><ol><li>向员工公开关于公司的一切，公司的目标、当前的计划、财务情况和你遇上的麻烦，你需要坦诚面对大家。也许你排斥这种做法，因为要公开的信息中没多少好消息，你担心大家马上就被吓跑，你更希望公司的进展能够表现得和你最初招聘员工们时向他们吹嘘得那么好，所以你最后决定报喜不报忧。但是，这根本解决不了问题，这种做法会让你每一天都在「公司仍然在进步」的虚幻中度过。<br></li><li>明确回报。大家在未来几个月将不惜代价的工作，想想你能为他们做点什么，而且要说到做到，别以为这是在哄小孩。<br></li><li>只留下想这么干的人。团队破釜沉舟的状态也就是一口气，要顶住这口气就需要团队保持高度的一致性，信心动摇的成员极有可能会摧毁掉整体的战斗力。<br></li><li>「狼来了」的故事只能说一次。<br></li></ol>
1292908390,当你三十而立或者三十而栗时，有何感想？, 其实无甚感想。<br><br>我理解的而立之年不是某个时间点，而是一个持续变化的过程，从梦想自己要去改变世界到知道如何去改变。<br><br>另外，我不知道三十而栗是什么感觉，三十岁那天只是我生命中所有天中的一天，同时也是一个新的开始。 
1292908606,如何挤出时间锻炼身体？, 首先很多锻炼是不需要挤出时间的，例如：<br><br>1. 快步走。在上下班的时候，背着书包快走是一种锻炼，走 10 到 20 分钟，速度要快，让身体微微出汗。<br><br>2. 爬楼梯。你肯定需要上下楼，不坐电梯就是一种很好的锻炼。 
1292909310,第一次创业的人通常都有哪些能力缺陷？, 1. 识人。很多创业团队的悲剧往往都是在创始人之间不停的争吵产生的，他们对创业方向从开始就没有达成共识，只是在表面上「想到一块去了」，而一起创业的「多年的同事」和「多年的朋友」未必能在创业上有担当。除此之外，创始者还可能招聘了不合适的员工，最后导致事情难以推进。<br><br>2. 布道。很多创始人都生性腼腆，饭桌上不讲话，开会时不上台。这也许不算是太大的问题，但做为一项能力，能够自如四处宣讲和布道肯定会带来很多机会。<br><br>3. 坚持方向。我不止听到一个人说过，大部分创业团队一年以后做的事情和最初创立时的想法已经风马牛不相及。但就我的经验而言，创业者需要和每天如海潮般涌来的信息作战，也许最初的想法真有问题，但更有可能性的，是你被各种信息搞昏了头，然后在迷路的状态下做出了错乱的选择。<br><br>4. 风险识别。没有栽过跟头，就很难感觉到哪块土是松的。找一个熟悉你创业行业的导师吧，提前了解行业陷阱才能未雨绸缪。<br><br>5. 了解自己的内心。你所坚信的，到底是一项事业还是创业本身？这两者有很大的区别。 
1292911786,知乎这个名字怎么来的？, 取名这事折磨了我们很长时间，从一开始大家就都希望找到一个完美的名字，实现这个目标的过程让人痛苦。<br><br>最开始我们都把思维集中在了问和答上，围绕这两个字，我们想出了大概 100 多个还算像样的名字，比如：问事儿，提问题，大声问等，其立意是，鼓励行为，如果你有问题，那就问好了。不过，这些名字都有点不痛不痒，缺少兴奋点。当然，我们也搞了一些形式主义，尝试设定一个 deadline 然后强行对所有的名字进行打分排序，未果。<br><br>然后就是某天。<br><br>9 月 13 日，下午 6 点过，我正在三里屯找晚饭果腹，一条知乎团队啦啦队长张亮的短信跳进我的手机：「如果围绕『知之』这俩字呢？」几分钟后，他的第二条短信又跳了进来：「知乎者.com？」这个名字在我的大脑里盘旋了几小时后，我给所有人都发了一条短信，上面只有两个字「知乎」。<br><br>知乎就是这么来的。 
1292913435,Google 最重要的 5 款产品是什么？, 1. 搜索──Google 最大的流量来源。<br><br>2. AdWords 和 AdSense──目前最大的收入来源。<br><br>3. Android──移动互联网是 Google 的新战场，也许也是未来的最大的收入来源。<br><br>4. Chrome──浏览器仍将是通用网络服务的最大入口。<br><br>5. Gmail──我觉得我不可能换邮箱了。 
1292918692,Google 在社交网络领域有戏吗？, 可以先看看历史，2005 年的时候，Google 的内部文化就没给 Social Network 产品创造出生长的机会，曾经在 Google Orkut 团队工作过的 Aaron Iba 在 Quora 上对这个问题有过回答，他当时（2005 年）发现 Google 内部认为 Social Network 只不过是浅薄的娱乐工具，从创始人到下面的员工都是这种看法。<br><br>在 2005 年，Google 的人几乎都不使用 Facebook，也不明白 Facebook 究竟会给用户带来什么价值。而且令人难以置信的是，很多 Orkut 团队的成员除了工作的时候，也基本上不使用自己的产品。而与之对应的是，Facebook 的团队成员都对自己的产品非常痴迷。<br><br>也许 Google 现在已经非常的重视 Social Network，重新制定了相应的战略，但如果「有戏」的定义是如同 Google 在搜索引擎领域一样成功的话，那我觉得可能性不大。<br><br>因为一家公司的历史是有边界的，Social Network 之于 Google 类似互联网之于微软，几年前 Google 一跃成为明星，开始蒸蒸日上的时候，微软也不是什么都没有做，而是做了很多事情，但结果是微软并没有在互联网领域续写桌面领域的辉煌，现在微软虽然在互联网领域仍然存在，但却已经当不了老大了。<br><br>Google 可以把搜索做好，但未必可以把 Social Network 做得一样好。每个公司都有自己的基因，在企业的发展过程中，基因的力量会迫使身体朝着某一个方向尽可能的「完美生长」，十多年过去了，Google 已经不再是一家「未发育」的初创公司，在搜索领域充分发育的身体带来了力量的同时，也会同样会让 Google 在做其它领域时出现力不从心。<br><br>Google 的最强的能力是做平台，但到目前为止，Google 没有做出一个 Social Network 平台，无论是 Buzz，Wave，Knol 还是 Google Me，似乎有点让人看不到「希望」。<br><br>罗列一些会被持续扩大的差距：<br><br>1. Google 偏重于信息处理，简化获取，缺少 Facebook 的娱乐属性；<br><br>2. 搜索引擎解决人找信息的问题，而 Facebook 的方向是信息如何找到人；<br><br>3. Google 没有处理知识的能力，Google 的使命是整合全世界的信息。而知识和信息不一样，知识是高度系统化和组织化之后的信息，包括了大量个体经验的沉淀。这个问题将会由善于解决人与信息之间关系的平台来解决，而不是搜索引擎。<br><br>4. 网络上的内容开始呈现应用化的趋势，很多内容是在应用（App）中，而非在 Web 上流动。比如 Instagram（一款 iPhone/Android 上的应用程序，可以立刻对照片进行加工并发布给自己的朋友）上的信息完全不需要被搜索。 
1292919744,谁创办了知乎？," 创办其实是一个长期过程，我和李申申作为联合创始人创办了知乎，其他陆续加入并组建的创业团队可参考：知乎团队的成员目前有谁？<a href=""http://www.zhihu.com/question/19551394"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">1394</span><span class=""ellipsis""></span></a> "
